Node,Depth,Value
root,0,-Infinity
B2,1,Infinity
A2,2,-Infinity
B2,3,Infinity
A2,4,-Infinity
B2,5,-Infinity
B3,5,15
B2,5,15
B4,5,15
B2,5,15
B5,5,15
B2,5,15
A2,4,15
B3,5,14
A2,4,15
B4,5,-Infinity
B2,5,16
B4,5,16
B3,5,30
B4,5,30
B4,5,16
B4,5,30
B5,5,30
B4,5,30
A2,4,30
B5,5,14
A2,4,30
B2,3,30
A3,4,-Infinity
B2,5,-11
A3,4,-11
B3,5,3
A3,4,3
B4,5,3
A3,4,3
B5,5,3
A3,4,3
B2,3,3
A4,4,-Infinity
B2,5,-11
A4,4,-11
B3,5,3
A4,4,3
B4,5,3
A4,4,3
B5,5,3
A4,4,3
B2,3,3
A5,4,-Infinity
B2,5,-11
A5,4,-11
B3,5,3
A5,4,3
B4,5,3
A5,4,3
B5,5,3
A5,4,3
B2,3,3
A2,2,3
B3,3,Infinity
A2,4,-Infinity
B2,5,14
A2,4,14
B3,5,11
A2,4,14
B4,5,25
A2,4,25
B5,5,25
A2,4,25
B3,3,25
A3,4,Infinity
A2,4,-Infinity
B2,5,-Infinity
B2,5,-1
B2,5,-1
B3,5,3
B2,5,3
B4,5,-Infinity
B2,5,20
B4,5,20
B3,5,24
B4,5,24
B4,5,19
B4,5,24
B5,5,38
B4,5,38
B2,5,38
B5,5,17
B2,5,38
A2,4,38
B3,5,-5
A2,4,38
B4,5,9
A2,4,38
B5,5,9
A2,4,38
A3,4,38
A3,4,-Infinity
B2,5,0
A3,4,0
B3,5,-Infinity
B2,5,-Infinity
B2,5,6
B2,5,6
B3,5,6
B2,5,6
B4,5,24
B2,5,24
B5,5,24
B2,5,24
B3,5,24
B3,5,-Infinity
B2,5,-Infinity
B2,5,7
B2,5,7
B3,5,7
B2,5,7
B4,5,25
B2,5,25
B5,5,25
B2,5,25
B3,5,25
B4,5,17
B3,5,25
B5,5,17
B3,5,25
B3,5,25
B4,5,16
B3,5,25
B5,5,16
B3,5,25
A3,4,25
B4,5,11
A3,4,25
B5,5,-Infinity
B2,5,20
B5,5,20
B3,5,17
B5,5,20
B4,5,31
B5,5,31
B5,5,14
B5,5,31
A3,4,31
A3,4,31
A4,4,-Infinity
B2,5,-13
A4,4,-13
B3,5,-16
A4,4,-13
B4,5,-2
A4,4,-2
B5,5,-2
A4,4,-2
A3,4,-2
A5,4,-Infinity
B2,5,-13
